uf,cidade,candidato,votos_validos,votos_concorrentes,lat,lon
AC,SENADOR GUIOMARD,FELIPE D'AVILA,14,13755,-9.9765,-67.31913961038961
AC,SENADOR GUIOMARD,PADRE KELMON,3,13755,-9.9765,-67.31913961038961
AC,SENADOR GUIOMARD,SOFIA MANZANO,2,13755,-9.9765,-67.31913961038961
AC,SENADOR GUIOMARD,CONSTITUINTE EYMAEL,1,13755,-9.9765,-67.31913961038961
AC,SENADOR GUIOMARD,LÉO PÉRICLES,0,13755,-9.9765,-67.31913961038961
AC,SENADOR GUIOMARD,VERA,0,13755,-9.9765,-67.31913961038961
AC,TARAUACÁ,JAIR BOLSONARO,9146,18508,-8.1602019,-70.7665368
AC,TARAUACÁ,LULA,8042,18508,-8.1602019,-70.7665368
AC,TARAUACÁ,SIMONE TEBET,671,18508,-8.1602019,-70.7665368
AC,TARAUACÁ,CIRO GOMES,543,18508,-8.1602019,-70.7665368
AC,TARAUACÁ,SORAYA THRONICKE,78,18508,-8.1602019,-70.7665368
AC,TARAUACÁ,FELIPE D'AVILA,10,18508,-8.1602019,-70.7665368
AC,TARAUACÁ,VERA,8,18508,-8.1602019,-70.7665368
AC,TARAUACÁ,PADRE KELMON,5,18508,-8.1602019,-70.7665368
AC,TARAUACÁ,SOFIA MANZANO,4,18508,-8.1602019,-70.7665368
AC,TARAUACÁ,CONSTITUINTE EYMAEL,1,18508,-8.1602019,-70.7665368
AC,TARAUACÁ,LÉO PÉRICLES,0,18508,-8.1602019,-70.7665368
AC,XAPURI,JAIR BOLSONARO,5142,9360,-10.6511174,-68.5017902
AC,XAPURI,LULA,3774,9360,-10.6511174,-68.5017902
AC,XAPURI,SIMONE TEBET,219,9360,-10.6511174,-68.5017902
AC,XAPURI,CIRO GOMES,168,9360,-10.6511174,-68.5017902
AC,XAPURI,SORAYA THRONICKE,44,9360,-10.6511174,-68.5017902
AC,XAPURI,FELIPE D'AVILA,6,9360,-10.6511174,-68.5017902
AC,XAPURI,SOFIA MANZANO,3,9360,-10.6511174,-68.5017902
AC,XAPURI,PADRE KELMON,2,9360,-10.6511174,-68.5017902
AC,XAPURI,VERA,1,9360,-10.6511174,-68.5017902
AC,XAPURI,LÉO PÉRICLES,1,9360,-10.6511174,-68.5017902
AC,XAPURI,CONSTITUINTE EYMAEL,0,9360,-10.6511174,-68.5017902
AL,ANADIA,LULA,6234,8593,-9.6830208,-36.3052699
AL,ANADIA,JAIR BOLSONARO,1797,8593,-9.6830208,-36.3052699
AL,ANADIA,SIMONE TEBET,274,8593,-9.6830208,-36.3052699
AL,ANADIA,CIRO GOMES,211,8593,-9.6830208,-36.3052699
AL,ANADIA,SORAYA THRONICKE,45,8593,-9.6830208,-36.3052699
AL,ANADIA,PADRE KELMON,18,8593,-9.6830208,-36.3052699
AL,ANADIA,FELIPE D'AVILA,8,8593,-9.6830208,-36.3052699
AL,ANADIA,VERA,3,8593,-9.6830208,-36.3052699
AL,ANADIA,SOFIA MANZANO,3,8593,-9.6830208,-36.3052699
AL,ANADIA,CONSTITUINTE EYMAEL,0,8593,-9.6830208,-36.3052699
AL,ANADIA,LÉO PÉRICLES,0,8593,-9.6830208,-36.3052699
AL,ARAPIRACA,LULA,59431,116927,-9.754866,-36.661471
AL,ARAPIRACA,JAIR BOLSONARO,48456,116927,-9.754866,-36.661471
AL,ARAPIRACA,SIMONE TEBET,3938,116927,-9.754866,-36.661471
AL,ARAPIRACA,CIRO GOMES,3897,116927,-9.754866,-36.661471
AL,ARAPIRACA,SORAYA THRONICKE,730,116927,-9.754866,-36.661471
AL,ARAPIRACA,PADRE KELMON,226,116927,-9.754866,-36.661471
AL,ARAPIRACA,FELIPE D'AVILA,158,116927,-9.754866,-36.661471
AL,ARAPIRACA,SOFIA MANZANO,41,116927,-9.754866,-36.661471
AL,ARAPIRACA,LÉO PÉRICLES,19,116927,-9.754866,-36.661471
AL,ARAPIRACA,VERA,19,116927,-9.754866,-36.661471
AL,ARAPIRACA,CONSTITUINTE EYMAEL,12,116927,-9.754866,-36.661471
AL,ATALAIA,LULA,13894,22604,-23.1513833,-52.0529697
AL,ATALAIA,JAIR BOLSONARO,7105,22604,-23.1513833,-52.0529697
AL,ATALAIA,SIMONE TEBET,964,22604,-23.1513833,-52.0529697
AL,ATALAIA,CIRO GOMES,422,22604,-23.1513833,-52.0529697
AL,ATALAIA,SORAYA THRONICKE,142,22604,-23.1513833,-52.0529697
AL,ATALAIA,PADRE KELMON,42,22604,-23.1513833,-52.0529697
AL,ATALAIA,FELIPE D'AVILA,20,22604,-23.1513833,-52.0529697
AL,ATALAIA,SOFIA MANZANO,7,22604,-23.1513833,-52.0529697
AL,ATALAIA,VERA,5,22604,-23.1513833,-52.0529697
AL,ATALAIA,LÉO PÉRICLES,2,22604,-23.1513833,-52.0529697
AL,ATALAIA,CONSTITUINTE EYMAEL,1,22604,-23.1513833,-52.0529697
AL,BARRA DE SANTO ANTÔNIO,LULA,5358,9283,-9.4038098,-35.5117693
AL,BARRA DE SANTO ANTÔNIO,JAIR BOLSONARO,3400,9283,-9.4038098,-35.5117693
AL,BARRA DE SANTO ANTÔNIO,SIMONE TEBET,292,9283,-9.4038098,-35.5117693
AL,BARRA DE SANTO ANTÔNIO,CIRO GOMES,171,9283,-9.4038098,-35.5117693
AL,BARRA DE SANTO ANTÔNIO,SORAYA THRONICKE,37,9283,-9.4038098,-35.5117693
AL,BARRA DE SANTO ANTÔNIO,FELIPE D'AVILA,9,9283,-9.4038098,-35.5117693
AL,BARRA DE SANTO ANTÔNIO,PADRE KELMON,9,9283,-9.4038098,-35.5117693
AL,BARRA DE SANTO ANTÔNIO,SOFIA MANZANO,5,9283,-9.4038098,-35.5117693
AL,BARRA DE SANTO ANTÔNIO,VERA,1,9283,-9.4038098,-35.5117693
AL,BARRA DE SANTO ANTÔNIO,LÉO PÉRICLES,1,9283,-9.4038098,-35.5117693
AL,BARRA DE SANTO ANTÔNIO,CONSTITUINTE EYMAEL,0,9283,-9.4038098,-35.5117693
AL,BARRA DE SÃO MIGUEL,JAIR BOLSONARO,2769,5905,-9.8261357,-35.8837777
